year,name,slug,locationCode,shapeClass,shapeLabel,baseToCoreRatio,childrenShare,workingAgeShare,olderShare,incomeGroup,incomeGroupCode,worldBankCode,maleToFemale20to49,femaleToMale65Plus,workingAgeBulgeShare,youthBulgeShare,interestingTags,interestingTagLabels,notchedCohorts,maleDentCohorts,population,imagePath,pageUrl,dataUrl,imageUrl
2026,Paraguay,paraguay,600,high-growth-pyramid,High-growth pyramid,1.289,28.14,64.95,6.91,Upper middle income,UMC,PRY,1.023,1.264,44.42,24.77,,,,,7095280,/population-pyramids/2026/high-growth-pyramid/paraguay.png,https://www.populationpyramid.net/paraguay/2026/,https://www.populationpyramid.net/api/pp/600/2026/,https://images.populationpyramid.net/capture/?selector=%23pyramid-share-container&url=https%3A%2F%2Fwww.populationpyramid.net%2Fparaguay%2F2026%2F%3Fshare%3Dtrue
2026,Peru,peru,604,bullet-column,Bullet / column,1.064,23.27,67.02,9.71,Upper middle income,UMC,PER,0.984,1.164,44.56,24.28,,,,,34922148,/population-pyramids/2026/bullet-column/peru.png,https://www.populationpyramid.net/peru/2026/,https://www.populationpyramid.net/api/pp/604/2026/,https://images.populationpyramid.net/capture/?selector=%23pyramid-share-container&url=https%3A%2F%2Fwww.populationpyramid.net%2Fperu%2F2026%2F%3Fshare%3Dtrue
2026,Philippines,philippines,608,high-growth-pyramid,High-growth pyramid,1.208,26.41,67.63,5.95,Upper middle income,UMC,PHL,1.013,1.386,45.59,27.84,,,,,117724471,/population-pyramids/2026/high-growth-pyramid/philippines.png,https://www.populationpyramid.net/philippines/2026/,https://www.populationpyramid.net/api/pp/608/2026/,https://images.populationpyramid.net/capture/?selector=%23pyramid-share-container&url=https%3A%2F%2Fwww.populationpyramid.net%2Fphilippines%2F2026%2F%3Fshare%3Dtrue
2026,Poland,poland,616,low-growth-constrictive,Low-growth / constrictive,0.661,14.13,64.61,21.26,High income,HIC,POL,1.033,1.46,40.24,15.16,,,,,37843189,/population-pyramids/2026/low-growth-constrictive/poland.png,https://www.populationpyramid.net/poland/2026/,https://www.populationpyramid.net/api/pp/616/2026/,https://images.populationpyramid.net/capture/?selector=%23pyramid-share-container&url=https%3A%2F%2Fwww.populationpyramid.net%2Fpoland%2F2026%2F%3Fshare%3Dtrue
2026,Portugal,portugal,620,low-growth-constrictive,Low-growth / constrictive,0.708,12.62,62,25.37,High income,HIC,PRT,0.987,1.334,35.16,15.87,rapid-aging-profile,Aging-heavy profile,,,10395363,/population-pyramids/2026/low-growth-constrictive/portugal.png,https://www.populationpyramid.net/portugal/2026/,https://www.populationpyramid.net/api/pp/620/2026/,https://images.populationpyramid.net/capture/?selector=%23pyramid-share-container&url=https%3A%2F%2Fwww.populationpyramid.net%2Fportugal%2F2026%2F%3Fshare%3Dtrue
2026,Puerto Rico,puerto-rico,630,low-growth-constrictive,Low-growth / constrictive,0.583,10.88,63.28,25.85,High income,HIC,PRI,0.946,1.354,37.35,18.46,rapid-aging-profile,Aging-heavy profile,,,3222688,/population-pyramids/2026/low-growth-constrictive/puerto-rico.png,https://www.populationpyramid.net/puerto-rico/2026/,https://www.populationpyramid.net/api/pp/630/2026/,https://images.populationpyramid.net/capture/?selector=%23pyramid-share-container&url=https%3A%2F%2Fwww.populationpyramid.net%2Fpuerto-rico%2F2026%2F%3Fshare%3Dtrue
2026,Qatar,qatar,634,low-growth-constrictive,Low-growth / constrictive,0.398,15,83.28,1.72,High income,HIC,QAT,3.127,0.642,69.04,21.43,male-working-age-surplus; cohort-notch; working-age-bulge,Working-age male surplus; Cohort notch; Working-age bulge,15-19 (0.76); 20-24 (0.83),,3173560,/population-pyramids/2026/low-growth-constrictive/qatar.png,https://www.populationpyramid.net/qatar/2026/,https://www.populationpyramid.net/api/pp/634/2026/,https://images.populationpyramid.net/capture/?selector=%23pyramid-share-container&url=https%3A%2F%2Fwww.populationpyramid.net%2Fqatar%2F2026%2F%3Fshare%3Dtrue
2026,Republic of Korea,republic-of-korea,410,low-growth-constrictive,Low-growth / constrictive,0.471,9.82,68.75,21.43,High income,HIC,KOR,1.094,1.263,39.77,16.05,,,,,51600388,/population-pyramids/2026/low-growth-constrictive/republic-of-korea.png,https://www.populationpyramid.net/republic-of-korea/2026/,https://www.populationpyramid.net/api/pp/410/2026/,https://images.populationpyramid.net/capture/?selector=%23pyramid-share-container&url=https%3A%2F%2Fwww.populationpyramid.net%2Frepublic-of-korea%2F2026%2F%3Fshare%3Dtrue
2026,Republic of Moldova,republic-of-moldova,498,bullet-column,Bullet / column,0.962,19.23,63.34,17.43,Upper middle income,UMC,MDA,0.945,1.844,38.6,16.38,cohort-notch; female-longevity-skew,Cohort notch; Older female surplus,25-29 (0.80),,2961254,/population-pyramids/2026/bullet-column/republic-of-moldova.png,https://www.populationpyramid.net/republic-of-moldova/2026/,https://www.populationpyramid.net/api/pp/498/2026/,https://images.populationpyramid.net/capture/?selector=%23pyramid-share-container&url=https%3A%2F%2Fwww.populationpyramid.net%2Frepublic-of-moldova%2F2026%2F%3Fshare%3Dtrue
2026,Réunion,réunion,638,high-growth-pyramid,High-growth pyramid,1.179,20.16,62.99,16.85,Not classified,NA,,0.865,1.237,35.23,19.43,male-working-age-deficit,Working-age male deficit,,,886298,/population-pyramids/2026/high-growth-pyramid/réunion.png,https://www.populationpyramid.net/r%C3%A9union/2026/,https://www.populationpyramid.net/api/pp/638/2026/,https://images.populationpyramid.net/capture/?selector=%23pyramid-share-container&url=https%3A%2F%2Fwww.populationpyramid.net%2Fr%25C3%25A9union%2F2026%2F%3Fshare%3Dtrue
